"job_id","job_title","job_location","salary_year_avg","company_name","skills"
464901,"Entry/Junior Level Data Scientist/Python Programmer","Houston, TX","127500.0","SynergisticIT","python"
464901,"Entry/Junior Level Data Scientist/Python Programmer","Houston, TX","127500.0","SynergisticIT","java"
464901,"Entry/Junior Level Data Scientist/Python Programmer","Houston, TX","127500.0","SynergisticIT","sas"
464901,"Entry/Junior Level Data Scientist/Python Programmer","Houston, TX","127500.0","SynergisticIT","javascript"
464901,"Entry/Junior Level Data Scientist/Python Programmer","Houston, TX","127500.0","SynergisticIT","c++"
464901,"Entry/Junior Level Data Scientist/Python Programmer","Houston, TX","127500.0","SynergisticIT","oracle"
464901,"Entry/Junior Level Data Scientist/Python Programmer","Houston, TX","127500.0","SynergisticIT","spring"
464901,"Entry/Junior Level Data Scientist/Python Programmer","Houston, TX","127500.0","SynergisticIT","tableau"
464901,"Entry/Junior Level Data Scientist/Python Programmer","Houston, TX","127500.0","SynergisticIT","sas"
464901,"Entry/Junior Level Data Scientist/Python Programmer","Houston, TX","127500.0","SynergisticIT","jenkins"
464901,"Entry/Junior Level Data Scientist/Python Programmer","Houston, TX","127500.0","SynergisticIT","docker"
567864,"Junior Data Engineer","Anywhere","115000.0","Patterned Learning AI","sql"
567864,"Junior Data Engineer","Anywhere","115000.0","Patterned Learning AI","c#"
567864,"Junior Data Engineer","Anywhere","115000.0","Patterned Learning AI","sql server"
567864,"Junior Data Engineer","Anywhere","115000.0","Patterned Learning AI","azure"
567864,"Junior Data Engineer","Anywhere","115000.0","Patterned Learning AI","flow"
1514858,"Summer 2023 Intern- Data Science (AI/ML) Intern","Anywhere","107330.0","Iron Mountain Inc.","sql"
1514858,"Summer 2023 Intern- Data Science (AI/ML) Intern","Anywhere","107330.0","Iron Mountain Inc.","python"
1514858,"Summer 2023 Intern- Data Science (AI/ML) Intern","Anywhere","107330.0","Iron Mountain Inc.","java"
1514858,"Summer 2023 Intern- Data Science (AI/ML) Intern","Anywhere","107330.0","Iron Mountain Inc.","c++"
1514858,"Summer 2023 Intern- Data Science (AI/ML) Intern","Anywhere","107330.0","Iron Mountain Inc.","c#"
72734,"Entry Level - Associate Data Scientist - Commercial","Dallas, TX","107000.0","IBM","python"
72734,"Entry Level - Associate Data Scientist - Commercial","Dallas, TX","107000.0","IBM","scala"
72734,"Entry Level - Associate Data Scientist - Commercial","Dallas, TX","107000.0","IBM","java"
72734,"Entry Level - Associate Data Scientist - Commercial","Dallas, TX","107000.0","IBM","r"
72734,"Entry Level - Associate Data Scientist - Commercial","Dallas, TX","107000.0","IBM","sas"
72734,"Entry Level - Associate Data Scientist - Commercial","Dallas, TX","107000.0","IBM","matlab"
72734,"Entry Level - Associate Data Scientist - Commercial","Dallas, TX","107000.0","IBM","azure"
72734,"Entry Level - Associate Data Scientist - Commercial","Dallas, TX","107000.0","IBM","aws"
72734,"Entry Level - Associate Data Scientist - Commercial","Dallas, TX","107000.0","IBM","sas"
72734,"Entry Level - Associate Data Scientist - Commercial","Dallas, TX","107000.0","IBM","spss"
161651,"Junior Data Scientist (Remote)","Anywhere","105000.0","Trilogy Federal","sql"
161651,"Junior Data Scientist (Remote)","Anywhere","105000.0","Trilogy Federal","python"
161651,"Junior Data Scientist (Remote)","Anywhere","105000.0","Trilogy Federal","r"
153367,"Junior Data Scientist","Anywhere","105000.0","Trilogy Federal","sql"
153367,"Junior Data Scientist","Anywhere","105000.0","Trilogy Federal","python"
153367,"Junior Data Scientist","Anywhere","105000.0","Trilogy Federal","r"
230316,"Junior Data Engineer","Fort Worth, TX","105000.0","Creative Financial Staffing (CFS)","sql"
230316,"Junior Data Engineer","Fort Worth, TX","105000.0","Creative Financial Staffing (CFS)","azure"
348207,"Data Scientist – Entry Level 2024","Dallas, TX","102200.0","IBM","sql"
348207,"Data Scientist – Entry Level 2024","Dallas, TX","102200.0","IBM","python"
348207,"Data Scientist – Entry Level 2024","Dallas, TX","102200.0","IBM","r"
348207,"Data Scientist – Entry Level 2024","Dallas, TX","102200.0","IBM","ibm cloud"
348207,"Data Scientist – Entry Level 2024","Dallas, TX","102200.0","IBM","spark"
348207,"Data Scientist – Entry Level 2024","Dallas, TX","102200.0","IBM","pandas"
348207,"Data Scientist – Entry Level 2024","Dallas, TX","102200.0","IBM","jupyter"
348207,"Data Scientist – Entry Level 2024","Dallas, TX","102200.0","IBM","scikit-learn"
958457,"Junior Data Scientist","Anywhere","100000.0","Morgan Hunter","sql"
958457,"Junior Data Scientist","Anywhere","100000.0","Morgan Hunter","python"
958457,"Junior Data Scientist","Anywhere","100000.0","Morgan Hunter","r"
958457,"Junior Data Scientist","Anywhere","100000.0","Morgan Hunter","sas"
958457,"Junior Data Scientist","Anywhere","100000.0","Morgan Hunter","excel"
958457,"Junior Data Scientist","Anywhere","100000.0","Morgan Hunter","tableau"
958457,"Junior Data Scientist","Anywhere","100000.0","Morgan Hunter","sas"
958457,"Junior Data Scientist","Anywhere","100000.0","Morgan Hunter","spss"
